Epoch,Learning rate,Training loss,Testing loss,RANS loss,BC loss,Sample loss
7.154000000000000000e+03,4.782969000000002012e-05,2.436000114384914923e+03,1.219467168921768661e+02,6.943426562500000010e+00,2.776746177673340199e+00,1.295587790609394574e+01
7.203000000000000000e+03,4.782969000000002012e-05,2.435753016210559053e+03,1.215636197832824621e+02,6.673546093750000630e+00,2.749000167846679776e+00,1.291826450813286442e+01
7.252000000000000000e+03,4.782969000000002012e-05,2.435302012441368788e+03,1.217499688166636389e+02,6.578260156250000712e+00,2.713523483276367276e+00,1.293513337176650602e+01
7.301000000000000000e+03,4.782969000000002012e-05,2.435110571497971705e+03,1.214766017645011402e+02,6.399308984375000620e+00,2.684058761596679776e+00,1.290786906217032914e+01
7.350000000000000000e+03,4.782969000000002012e-05,2.434779927731206499e+03,1.214798410458844700e+02,6.271939062500000439e+00,2.650949859619140980e+00,1.290730539143742206e+01
7.399000000000000000e+03,4.782969000000002012e-05,2.434583047439143229e+03,1.215182362568801437e+02,6.170868359375000445e+00,2.617334938049316495e+00,1.291045261640715403e+01
7.448000000000000000e+03,4.782969000000002012e-05,2.434437832072848778e+03,1.210537073423530501e+02,5.941378906250000647e+00,2.590147781372070579e+00,1.286472985471972663e+01
7.497000000000000000e+03,4.782969000000002012e-05,2.434079013782120910e+03,1.211858545528831996e+02,5.900705078125000114e+00,2.555898857116699396e+00,1.287629755894639416e+01
7.546000000000000000e+03,4.782969000000002012e-05,2.433988324064037442e+03,1.213172878433996402e+02,5.860872265624999855e+00,2.522011947631836115e+00,1.288873155312646901e+01
7.595000000000000000e+03,4.782969000000002012e-05,2.433624084655731622e+03,1.211557294113325582e+02,5.729013671875000213e+00,2.491918754577636896e+00,1.287222408723411959e+01
7.644000000000000000e+03,4.782969000000002012e-05,2.433403992949370604e+03,1.208530111222295176e+02,5.587951562500000691e+00,2.463529777526855646e+00,1.284177287817095170e+01
7.693000000000000000e+03,4.782969000000002012e-05,2.433365991391711759e+03,1.207995738929591596e+02,5.515442187500000593e+00,2.434337615966796875e+00,1.283589599012355542e+01
7.742000000000000000e+03,4.782969000000002012e-05,2.433038946228236910e+03,1.207986522881898708e+02,5.452873437500000087e+00,2.404438972473144531e+00,1.283511087804625461e+01
7.791000000000000000e+03,4.782969000000002012e-05,2.432863970468130901e+03,1.206797848608900523e+02,5.351828515624999838e+00,2.375961685180663974e+00,1.282241534294240459e+01
7.840000000000000000e+03,4.782969000000002012e-05,2.432673302575872185e+03,1.207449801201654083e+02,5.319656640625000321e+00,2.346117210388183771e+00,1.282844913791918273e+01
7.889000000000000000e+03,4.782969000000002012e-05,2.432540334154254197e+03,1.207268201626255433e+02,5.254192578125000068e+00,2.318248558044433860e+00,1.282611663715610284e+01
